(define (plan deliver-problem)
[(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(pick-up ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
(move ?a ?p ?l)
